ZIP,COUNTY,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,H_MALE,H_FEMALE,TOM_MALE,TOM_FEMALE,AGE_1,AGE_2,AGE_3,AGE_4,AGE_5,AGE_6,AGE_7,AGE_8,AGE_9,AGE_10,AGE_11,AGE_12,AGE_13,AGE_14,AGE_15,AGE_16,AGE_17,AGE_18,STATUS_CHARGED_OFF,STATUS_CURRENT,STATUS_DEFAULT,STATUS_FULLY_PAID,STATUS_IN_GRACE_PERIOD,STATUS_LATE_1,STATUS_LATE_2,ACCEPTED_COUNT,REJECT_COUNT
031,33011,0.451568562843,0.460317499348,0.0143823860647,0.011854587659,0.00163520033048,0.00152700662441,0.0193273302219,0.0199691156148,0.000336875857558,0.000349170596885,0.0318728822312,0.0305991472369,0.00946694928174,0.00926531555678,0.054143573048,0.0577287190357,0.062545797904,0.0641146066421,0.0649531078642,0.0648744215325,0.0627843158469,0.06006226056,0.0647686867743,0.074656116141,0.0838427453661,0.0788141969814,0.0628334948042,0.0505485912688,0.0335425078317,0.0227133014326,0.0171905045269,0.0198830524395,16,125,0,77,3,0,3,224,1388
032,33001,0.474480961726,0.48930591514,0.00458435711812,0.00265496941014,0.00143467291107,0.00120380600584,0.00560676769842,0.00639831137349,0.000115433452615,0.000164904932307,0.00849260401379,0.00872347091902,0.00692600715687,0.00712389307564,0.0469979057074,0.0528190498178,0.0560346959978,0.0576507643344,0.0521099586089,0.0500321564618,0.0534621790538,0.0526541448855,0.0574528784156,0.0666710641315,0.0819082798767,0.0852393595092,0.081644431985,0.0744051054567,0.0499826849821,0.0318761234149,0.0225095232598,0.0265496941014,23,166,0,91,3,1,4,288,1716
033,33013,0.467458140195,0.482924983445,0.00775031420193,0.00593942997689,0.00143249050637,0.00129734989256,0.00846655945511,0.0102909577415,0.00015541170588,0.000189196859332,0.00996662026839,0.00943281484385,0.00679081584389,0.00730435017636,0.0471167750044,0.0520696785005,0.0584010162574,0.0677257186102,0.0674621944133,0.057799640526,0.0574482749301,0.0558671297485,0.0612457261781,0.0701785207508,0.0821722502264,0.0829020095409,0.0714961417355,0.0582456045515,0.0391502358204,0.0263186345392,0.0204535318999,0.0239469167669,11,50,0,30,0,1,2,94,587
034,33005,0.468020919786,0.490073640807,0.00483473632903,0.00296407540608,0.00172575056976,0.00150179820575,0.00661318157267,0.00828623746855,0.000144910353186,0.000223952364015,0.00866827385422,0.00858923184339,0.00823354279466,0.00737725434402,0.0459761029654,0.0505605395935,0.0540383880699,0.0752875153144,0.0781988960466,0.0634970820324,0.0552240182324,0.0495856881266,0.0543018614394,0.0635366030378,0.0763150614552,0.0802539883281,0.0744048795268,0.06231145187,0.0429988538908,0.0287976392786,0.0221844577059,0.0225269730862,11,59,0,39,3,1,1,114,651
035,33007,0.493624247084,0.474593105216,0.00480584390619,0.00205049339997,0.00233884403435,0.00217864923747,0.00195437652185,0.00339612969371,0.0,6.40779187492e-05,0.00871459694989,0.00759323337178,0.00740099961553,0.00759323337178,0.0423234653338,0.04661668589,0.0500448545431,0.0528322440087,0.0512943739587,0.0511982570806,0.0485390234525,0.0507497116494,0.0590798410868,0.0677623990773,0.0818595412021,0.0867615019864,0.0860886838395,0.0750352428553,0.0528322440087,0.0379020889402,0.0268166089965,0.0322632320902,2,34,0,17,0,0,2,55,421
036,33005,0.468020919786,0.490073640807,0.00483473632903,0.00296407540608,0.00172575056976,0.00150179820575,0.00661318157267,0.00828623746855,0.000144910353186,0.000223952364015,0.00866827385422,0.00858923184339,0.00823354279466,0.00737725434402,0.0459761029654,0.0505605395935,0.0540383880699,0.0752875153144,0.0781988960466,0.0634970820324,0.0552240182324,0.0495856881266,0.0543018614394,0.0635366030378,0.0763150614552,0.0802539883281,0.0744048795268,0.06231145187,0.0429988538908,0.0287976392786,0.0221844577059,0.0225269730862,2,9,0,5,0,1,0,17,147
037,33009,0.458598298253,0.471652485446,0.00553067622033,0.00591133004926,0.00210479175996,0.0019816390506,0.0165248544559,0.0189767129422,0.000235109717868,0.00013434841021,0.0110501567398,0.0120801612181,0.00935960591133,0.00899014778325,0.0428459471563,0.0454657411554,0.0479175996417,0.0782131661442,0.0886923421406,0.0652149574563,0.0550604567846,0.049552171966,0.0525414240931,0.0600313479624,0.0728168383341,0.0805082848186,0.0745409762651,0.063434841021,0.0449283475146,0.0303403493059,0.0221898790864,0.0257053291536,11,49,0,41,2,1,1,105,646
038,23031,0.466876109142,0.492580864845,0.00487152593093,0.00295274122753,0.00169509218617,0.00176965635858,0.0056619061585,0.00786403471708,0.000169012124134,0.000154099289652,0.00866932777913,0.00863453116534,0.00767016786881,0.00773479015156,0.0476663899507,0.0535619305161,0.0573348776402,0.0592238366746,0.0538701290954,0.0577027275574,0.057225516854,0.0549090565644,0.0607350039022,0.0696479079779,0.0828606793293,0.0834721055431,0.0756329255502,0.0645874861435,0.0440823387301,0.031147940289,0.0222400071582,0.0240991405236,26,280,0,188,5,2,0,501,2703
039,23031,0.466876109142,0.492580864845,0.00487152593093,0.00295274122753,0.00169509218617,0.00176965635858,0.0056619061585,0.00786403471708,0.000169012124134,0.000154099289652,0.00866932777913,0.00863453116534,0.00767016786881,0.00773479015156,0.0476663899507,0.0535619305161,0.0573348776402,0.0592238366746,0.0538701290954,0.0577027275574,0.057225516854,0.0549090565644,0.0607350039022,0.0696479079779,0.0828606793293,0.0834721055431,0.0756329255502,0.0645874861435,0.0440823387301,0.031147940289,0.0222400071582,0.0240991405236,1,16,0,8,0,0,0,25,131
040,23005,0.449125275453,0.476744707339,0.0160564458561,0.0129734427213,0.00156908996231,0.00178634857247,0.00997320477141,0.0128561920428,0.000172427468385,0.000220707159533,0.0098249171486,0.00999734461699,0.00950075350804,0.00902140514593,0.0496315225001,0.0518903223359,0.0565562096304,0.0621118226618,0.0628256723809,0.0665432085993,0.0638774799381,0.0591253789094,0.0628980919176,0.0706607765443,0.0783544901837,0.0769957617328,0.0689192591137,0.0581252995927,0.0396755604755,0.02688833942,0.0206878476569,0.0242329564069,4,94,0,39,4,0,3,144,875
041,23005,0.449125275453,0.476744707339,0.0160564458561,0.0129734427213,0.00156908996231,0.00178634857247,0.00997320477141,0.0128561920428,0.000172427468385,0.000220707159533,0.0098249171486,0.00999734461699,0.00950075350804,0.00902140514593,0.0496315225001,0.0518903223359,0.0565562096304,0.0621118226618,0.0628256723809,0.0665432085993,0.0638774799381,0.0591253789094,0.0628980919176,0.0706607765443,0.0783544901837,0.0769957617328,0.0689192591137,0.0581252995927,0.0396755604755,0.02688833942,0.0206878476569,0.0242329564069,2,31,0,13,2,0,1,49,295
042,23001,0.453479805657,0.47371611351,0.0207771861274,0.0170283401565,0.00204228176028,0.00225676797255,0.00385142633331,0.0047839750823,0.000149207799838,0.000195835237287,0.00913897774006,0.00866337787808,0.011060028163,0.0106590322009,0.0597017709101,0.0624061622821,0.0597670493225,0.0630869228689,0.0611192450085,0.061641472308,0.0610632920836,0.0589464064234,0.0612031743959,0.0684211017131,0.0779424244402,0.0751634291683,0.0652690869415,0.0564191993136,0.0379081066463,0.0272397489579,0.021625805489,0.0210756017271,7,54,0,18,1,0,5,85,494
043,23011,0.468028004667,0.493382230372,0.00409234872479,0.00265877646274,0.00237539589932,0.00256709451575,0.00375895982664,0.00513418903151,0.000250041673612,0.00020003333889,0.00754292382064,0.00725120853476,0.00871811968661,0.00883480580097,0.0484914152359,0.0539256542757,0.0576096016003,0.0609268211369,0.0613185530922,0.0565260876813,0.0577096182697,0.0555092515419,0.0608518086348,0.0700866811135,0.0807717952992,0.0843890648441,0.0755709284881,0.0607434572429,0.0416319386564,0.028913152192,0.0222120353392,0.0228121353559,1,23,0,7,1,0,0,32,200
044,23003,0.470930232558,0.482689281343,0.00527481494434,0.00327854520021,0.00897592819257,0.00999592003264,0.00202541236813,0.00285597715218,0.000203998368013,0.000174855744011,0.00638223465641,0.00515824444833,0.00641137728041,0.00718365681646,0.0481436148511,0.0493530337472,0.0521361543393,0.0601940898759,0.0542781372035,0.0501253132832,0.0483621845311,0.0512910182433,0.0555749839716,0.0664306114123,0.0791367954771,0.0842076120534,0.0817304890132,0.0707728623885,0.0523110100833,0.0381622661304,0.0293757649939,0.0284140584018,3,32,0,14,1,0,0,50,508
045,23013,0.47675323046,0.49150671183,0.00552001003638,0.00150545728265,0.00218291305984,0.002082549241,0.00238364069753,0.00321164220299,0.000100363818843,0.000125454773554,0.00684983063606,0.00725128591143,0.00705055827374,0.00757746832267,0.0462677204868,0.049454271735,0.0537448249906,0.052063731025,0.0479739054071,0.0494040898256,0.0538702797641,0.0520888219797,0.0582110149291,0.0632292058713,0.0744699535817,0.0839794254171,0.0858361560657,0.0774557771923,0.0550746455903,0.037661523021,0.0263705934011,0.0328440597165,0,10,0,6,0,0,0,16,133
046,23009,0.470059825463,0.491995828683,0.00493971715545,0.002982125542,0.00279917305476,0.00241497283156,0.00398836422181,0.00706196600743,0.000128066741067,5.48857461717e-05,0.00698878501253,0.00691560401764,0.00691560401764,0.0066594705355,0.04473188313,0.0482628661337,0.0502204577471,0.0536599645072,0.0532940595327,0.0524890685889,0.0520316873708,0.0494520573007,0.0573373095007,0.0642895040158,0.0794379699592,0.0860974404947,0.0876159461388,0.0799502369235,0.0546113174409,0.0351268775499,0.0248998335132,0.0264915201522,1,13,0,4,0,0,0,18,207
047,23003,0.470930232558,0.482689281343,0.00527481494434,0.00327854520021,0.00897592819257,0.00999592003264,0.00202541236813,0.00285597715218,0.000203998368013,0.000174855744011,0.00638223465641,0.00515824444833,0.00641137728041,0.00718365681646,0.0481436148511,0.0493530337472,0.0521361543393,0.0601940898759,0.0542781372035,0.0501253132832,0.0483621845311,0.0512910182433,0.0555749839716,0.0664306114123,0.0791367954771,0.0842076120534,0.0817304890132,0.0707728623885,0.0523110100833,0.0381622661304,0.0293757649939,0.0284140584018,2,19,0,4,0,0,0,25,217
048,23013,0.47675323046,0.49150671183,0.00552001003638,0.00150545728265,0.00218291305984,0.002082549241,0.00238364069753,0.00321164220299,0.000100363818843,0.000125454773554,0.00684983063606,0.00725128591143,0.00705055827374,0.00757746832267,0.0462677204868,0.049454271735,0.0537448249906,0.052063731025,0.0479739054071,0.0494040898256,0.0538702797641,0.0520888219797,0.0582110149291,0.0632292058713,0.0744699535817,0.0839794254171,0.0858361560657,0.0774557771923,0.0550746455903,0.037661523021,0.0263705934011,0.0328440597165,1,16,0,2,0,0,0,19,98
049,23007,0.476843052916,0.493848154446,0.00416791704178,0.00156713680771,0.00166716681671,0.0024340635524,0.00153379347137,0.00356773698776,0.000133373345337,0.000266746690674,0.00636857723984,0.00756893734787,0.00670201060318,0.00726884732086,0.0457137141142,0.0517488579907,0.0511486779367,0.0687873028575,0.0669867626955,0.0562168650595,0.0500150045014,0.0477476576306,0.0529158747624,0.0613850821913,0.0819579207095,0.086492614451,0.0795905438298,0.0682538094762,0.0503150945284,0.0346103831149,0.023940515488,0.0221733186623,6,44,0,13,0,1,1,65,469
050,50005,0.476900584795,0.48567251462,0.00480831708902,0.00292397660819,0.00289148797921,0.00237166991553,0.0040285899935,0.00490578297596,3.24886289799e-05,6.49772579597e-05,0.00717998700455,0.00812215724496,0.00795971410006,0.00743989603639,0.0473359324237,0.0539636127355,0.0604613385315,0.0722222222222,0.0630279402209,0.0518843404808,0.0536062378168,0.0543859649123,0.0599740090968,0.0617608836907,0.0743664717349,0.0797270955166,0.0811565951917,0.0667641325536,0.0459389213775,0.0291747888239,0.020955165692,0.0232943469786,7,55,0,46,0,1,1,110,614
051,50003,0.466916320181,0.496131288377,0.00575488063441,0.00448825618856,0.00228543106534,0.00148690695817,0.00379987333756,0.00492882121321,0.000302888454443,0.000220282512322,0.00958228928601,0.00936200677369,0.0063606575433,0.00732439353471,0.0470853870088,0.0527576617011,0.0555387284192,0.0652311589614,0.0666629952915,0.0457361566209,0.0473607401492,0.0467274279263,0.0508301897183,0.0652586942754,0.0790814219236,0.083432001542,0.0768785968004,0.0686730732164,0.0516011785114,0.0368973208139,0.0278106671807,0.0324365999394,2,25,0,17,0,0,1,45,310
052,50003,0.466916320181,0.496131288377,0.00575488063441,0.00448825618856,0.00228543106534,0.00148690695817,0.00379987333756,0.00492882121321,0.000302888454443,0.000220282512322,0.00958228928601,0.00936200677369,0.0063606575433,0.00732439353471,0.0470853870088,0.0527576617011,0.0555387284192,0.0652311589614,0.0666629952915,0.0457361566209,0.0473607401492,0.0467274279263,0.0508301897183,0.0652586942754,0.0790814219236,0.083432001542,0.0768785968004,0.0686730732164,0.0516011785114,0.0368973208139,0.0278106671807,0.0324365999394,2,23,0,20,0,0,3,48,341
053,50003,0.466916320181,0.496131288377,0.00575488063441,0.00448825618856,0.00228543106534,0.00148690695817,0.00379987333756,0.00492882121321,0.000302888454443,0.000220282512322,0.00958228928601,0.00936200677369,0.0063606575433,0.00732439353471,0.0470853870088,0.0527576617011,0.0555387284192,0.0652311589614,0.0666629952915,0.0457361566209,0.0473607401492,0.0467274279263,0.0508301897183,0.0652586942754,0.0790814219236,0.083432001542,0.0768785968004,0.0686730732164,0.0516011785114,0.0368973208139,0.0278106671807,0.0324365999394,3,29,0,8,1,0,1,42,318
054,50001,0.474605103281,0.473174024571,0.00645335493452,0.00453624949372,0.00126906979884,0.00118806534359,0.00880248413663,0.0101525583907,2.70014850817e-05,0.000108005940327,0.012555690563,0.00985554205481,0.00974753611449,0.00993654651006,0.0431483731605,0.0471445929526,0.0511678142298,0.0861077359255,0.0937491562036,0.0454975023626,0.0500607533414,0.050573781558,0.0550560280815,0.0673417037937,0.0764142027812,0.0808154448495,0.0762791953557,0.0651005805319,0.0439314162279,0.0266234642905,0.0189820440124,0.0220062103416,28,212,0,128,5,0,4,377,1986
